end_code,country_code,domaincat_desc,statisticcat_desc,location_desc,zip_5,source_desc,state_ansi,week_ending,prodn_practice_desc,county_code,congr_district_code,CV (%),year,Value,group_desc,country_name,class_desc,domain_desc,util_practice_desc,asd_desc,watershed_desc,agg_level_desc,county_name,county_ansi,state_alpha,state_name,load_time,commodity_desc,region_desc,freq_desc,unit_desc,state_fips_code,watershed_code,short_desc,begin_code,sector_desc,asd_code,reference_period_desc
FIELD CROPS,2012,191.7,ALL CLASSES,UNITED STATES,TOTAL,GRAIN,NOT SPECIFIED,00,9000,SURVEY,,06,YIELD,"CALIFORNIA, SIERRA MOUNTAINS, OTHER (COMBINED) COUNTIES",,998,,ALL PRODUCTION PRACTICES,,CORN,,2015-06-03 15:08:31.000,CALIFORNIA,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,60,CROPS,00,06,BU / ACRE,00000000,SIERRA MOUNTAINS,,COUNTY,OTHER (COMBINED) COUNTIES,CA,
06,,SURVEY,,"CALIFORNIA, SOUTHERN CALIFORNIA, OTHER (COMBINED) COUNTIES",YIELD,NOT SPECIFIED,9000,00,,,998,ALL PRODUCTION PRACTICES,ALL CLASSES,UNITED STATES,FIELD CROPS,96.7,2011,GRAIN,TOTAL,,SOUTHERN CALIFORNIA,CA,,OTHER (COMBINED) COUNTIES,COUNTY,,CORN,CALIFORNIA,2015-06-03 15:08:31.000,80,00,CROPS,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,BU / ACRE,06,ANNUAL
YEAR,80,00,CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,06,BU / ACRE,ANNUAL,,CORN,CALIFORNIA,2023-02-24 15:00:00.000,CA,025,IMPERIAL,COUNTY,,SOUTHERN CALIFORNIA,GRAIN,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,132.8,2022,08.50,,025,ALL PRODUCTION PRACTICES,,06,SURVEY,,"CALIFORNIA, SOUTHERN CALIFORNIA, IMPERIAL",YIELD,NOT SPECIFIED,9000,00
COUNTY,OTHER COUNTIES,,CA,,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",99,YEAR,CROPS,00,06,BU / ACRE,00000000,CORN,,2023-02-24 15:00:00.000,CALIFORNIA,998,,ALL PRODUCTION PRACTICES,01.10,NOT SPECIFIED,00,9000,SURVEY,,06,YIELD,"CALIFORNIA, OTHER COUNTIES",,TOTAL,GRAIN,FIELD CROPS,2022,179,ALL CLASSES,UNITED STATES
NOT SPECIFIED,9000,00,,06,SURVEY,,YIELD,"CALIFORNIA, OTHER COUNTIES",,998,ALL PRODUCTION PRACTICES,02.50,FIELD CROPS,162.1,2021,ALL CLASSES,UNITED STATES,TOTAL,GRAIN,,,COUNTY,CA,,OTHER COUNTIES,,CORN,CALIFORNIA,2023-02-24 15:00:00.000,ANNUAL,CROPS,99,00,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,06,BU / ACRE
TOTAL,GRAIN,187,2020,FIELD CROPS,UNITED STATES,ALL CLASSES,ALL PRODUCTION PRACTICES,,998,,9000,00,NOT SPECIFIED,,"CALIFORNIA, OTHER COUNTIES",YIELD,06,,SURVEY,ANNUAL,00000000,BU / ACRE,06,00,CROPS,YEAR,99,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CALIFORNIA,2022-02-24 15:00:14.000,,CORN,COUNTY,,CA,OTHER COUNTIES,,
NORTHERN COAST,,COUNTY,CA,023,HUMBOLDT,,CORN,CALIFORNIA,2023-02-24 15:00:00.000,ANNUAL,CROPS,YEAR,10,00,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,06,TONS / ACRE,NOT SPECIFIED,9000,00,06,,SURVEY,,YIELD,"CALIFORNIA, NORTHERN COAST, HUMBOLDT",,023,ALL PRODUCTION PRACTICES,10.80,FIELD CROPS,23.5,2022,ALL CLASSES,UNITED STATES,TOTAL,SILAGE
10.2,023,,ALL PRODUCTION PRACTICES,SURVEY,,06,"CALIFORNIA, NORTHERN COAST, HUMBOLDT",YIELD,,NOT SPECIFIED,00,9000,SILAGE,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,2020,19,HUMBOLDT,023,CA,COUNTY,,NORTHERN COAST,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",YEAR,CROPS,00,10,06,TONS / ACRE,00000000,ANNUAL,CORN,,CALIFORNIA,2022-02-24 15:00:14.000
ALL CLASSES,UNITED STATES,FIELD CROPS,2011,23.5,SILAGE,TOTAL,SURVEY,,06,"CALIFORNIA, NORTHERN COAST, HUMBOLDT",YIELD,,NOT SPECIFIED,00,9000,,023,,ALL PRODUCTION PRACTICES,CORN,,2015-06-03 15:08:31.000,CALIFORNIA,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",YEAR,CROPS,10,00,TONS / ACRE,06,00000000,ANNUAL,,NORTHERN COAST,HUMBOLDT,023,CA,COUNTY
CENTRAL COAST,,COUNTY,,CA,OTHER (COMBINED) COUNTIES,,CORN,CALIFORNIA,2017-02-23 15:00:08.000,ANNUAL,40,00,CROPS,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,06,TONS / ACRE,NOT SPECIFIED,9000,00,,06,SURVEY,,"CALIFORNIA, CENTRAL COAST, OTHER (COMBINED) COUNTIES",YIELD,,998,ALL PRODUCTION PRACTICES,,FIELD CROPS,15.5,2016,ALL CLASSES,UNITED STATES,TOTAL,SILAGE
00,9000,NOT SPECIFIED,YIELD,"CALIFORNIA, CENTRAL COAST, OTHER (COMBINED) COUNTIES",,SURVEY,06,,ALL PRODUCTION PRACTICES,998,,,2012,26.5,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,SILAGE,CENTRAL COAST,,COUNTY,OTHER (COMBINED) COUNTIES,,CA,2015-06-03 15:08:31.000,CALIFORNIA,CORN,,ANNUAL,06,TONS / ACRE,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",40,CROPS,00,YEAR
CROPS,00,40,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,06,TONS / ACRE,ANNUAL,,CORN,2015-06-03 15:08:31.000,CALIFORNIA,,CA,OTHER (COMBINED) COUNTIES,COUNTY,,CENTRAL COAST,SILAGE,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,28,2010,,,998,ALL PRODUCTION PRACTICES,,06,SURVEY,,"CALIFORNIA, CENTRAL COAST, OTHER (COMBINED) COUNTIES",YIELD,NOT SPECIFIED,9000,00
,06,SURVEY,,"CALIFORNIA, CENTRAL COAST, SONOMA",YIELD,NOT SPECIFIED,9000,00,,,097,ALL PRODUCTION PRACTICES,ALL CLASSES,UNITED STATES,FIELD CROPS,30,2010,SILAGE,TOTAL,,CENTRAL COAST,CA,097,SONOMA,COUNTY,,CORN,CALIFORNIA,2015-06-03 15:08:31.000,40,CROPS,00,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,06,TONS / ACRE,ANNUAL
,"CALIFORNIA, SACRAMENTO VALLEY, OTHER (COMBINED) COUNTIES",YIELD,,06,SURVEY,9000,00,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,,998,UNITED STATES,ALL CLASSES,24.5,2016,FIELD CROPS,SILAGE,TOTAL,,SACRAMENTO VALLEY,,CA,OTHER (COMBINED) COUNTIES,COUNTY,CALIFORNIA,2017-02-23 15:00:08.000,,CORN,00000000,06,TONS / ACRE,CROPS,00,YEAR,50,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",ANNUAL
998,,ALL PRODUCTION PRACTICES,,NOT SPECIFIED,00,9000,SURVEY,06,,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, OTHER (COMBINED) COUNTIES",,TOTAL,SILAGE,FIELD CROPS,2011,27.5,ALL CLASSES,UNITED STATES,COUNTY,OTHER (COMBINED) COUNTIES,,CA,SACRAMENTO VALLEY,,ANNUAL,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,00,50,YEAR,TONS / ACRE,06,00000000,CORN,,CALIFORNIA,2015-06-03 15:08:31.000
FIELD CROPS,2010,25.5,ALL CLASSES,UNITED STATES,TOTAL,SILAGE,NOT SPECIFIED,00,9000,SURVEY,06,,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, OTHER (COMBINED) COUNTIES",,998,,ALL PRODUCTION PRACTICES,,CORN,,CALIFORNIA,2015-06-03 15:08:31.000,ANNUAL,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,50,00,YEAR,TONS / ACRE,06,00000000,SACRAMENTO VALLEY,,COUNTY,OTHER (COMBINED) COUNTIES,CA,
04.40,ALL PRODUCTION PRACTICES,,021,,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, GLENN",06,,SURVEY,9000,00,NOT SPECIFIED,SILAGE,TOTAL,UNITED STATES,ALL CLASSES,27.5,2022,FIELD CROPS,021,CA,GLENN,COUNTY,,SACRAMENTO VALLEY,00000000,TONS / ACRE,06,YEAR,50,CROPS,00,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",ANNUAL,CALIFORNIA,2023-02-24 15:00:00.000,,CORN
,021,ALL PRODUCTION PRACTICES,03.10,NOT SPECIFIED,9000,00,,06,SURVEY,,"CALIFORNIA, SACRAMENTO VALLEY, GLENN",YIELD,TOTAL,SILAGE,FIELD CROPS,28.5,2021,ALL CLASSES,UNITED STATES,COUNTY,021,CA,GLENN,SACRAMENTO VALLEY,,ANNUAL,CROPS,50,YEAR,00,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,TONS / ACRE,06,,CORN,2023-02-24 15:00:00.000,CALIFORNIA
FIELD CROPS,2016,25.5,ALL CLASSES,UNITED STATES,TOTAL,SILAGE,NOT SPECIFIED,00,9000,SURVEY,06,,"CALIFORNIA, SACRAMENTO VALLEY, GLENN",YIELD,,021,,ALL PRODUCTION PRACTICES,,CORN,,CALIFORNIA,2017-02-23 15:00:08.000,ANNUAL,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00,CROPS,50,YEAR,TONS / ACRE,06,00000000,SACRAMENTO VALLEY,,COUNTY,GLENN,CA,021
COUNTY,SACRAMENTO,CA,067,SACRAMENTO VALLEY,,ANNUAL,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",50,CROPS,YEAR,00,TONS / ACRE,06,00000000,CORN,,2023-02-24 15:00:00.000,CALIFORNIA,067,,ALL PRODUCTION PRACTICES,03.30,NOT SPECIFIED,00,9000,SURVEY,06,,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, SACRAMENTO",,TOTAL,SILAGE,FIELD CROPS,2022,25.5,ALL CLASSES,UNITED STATES
2015-06-03 15:08:31.000,CALIFORNIA,CORN,,06,TONS / ACRE,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",50,YEAR,00,CROPS,ANNUAL,,SACRAMENTO VALLEY,TEHAMA,103,CA,COUNTY,UNITED STATES,ALL CLASSES,2011,24.5,FIELD CROPS,SILAGE,TOTAL,"CALIFORNIA, SACRAMENTO VALLEY, TEHAMA",YIELD,,SURVEY,,06,00,9000,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,103,
2011,31.5,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,SILAGE,00,9000,NOT SPECIFIED,"CALIFORNIA, SACRAMENTO VALLEY, YUBA",YIELD,,SURVEY,,06,ALL PRODUCTION PRACTICES,115,,,2015-06-03 15:08:31.000,CALIFORNIA,CORN,,ANNUAL,TONS / ACRE,06,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,00,YEAR,50,SACRAMENTO VALLEY,,COUNTY,YUBA,115,CA
SILAGE,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,28,2019,,,998,ALL PRODUCTION PRACTICES,,06,SURVEY,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, OTHER (COMBINED) COUNTIES",NOT SPECIFIED,9000,00,51,00,CROPS,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,06,TONS / ACRE,ANNUAL,,CORN,CALIFORNIA,2021-02-25 15:10:17.000,CA,,OTHER (COMBINED) COUNTIES,COUNTY,,SAN JOAQUIN VALLEY
ALL CLASSES,UNITED STATES,FIELD CROPS,2018,27.5,SILAGE,TOTAL,SURVEY,,06,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, OTHER (COMBINED) COUNTIES",,NOT SPECIFIED,00,9000,,998,,ALL PRODUCTION PRACTICES,CORN,,2019-03-21 15:00:18.000,CALIFORNIA,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",YEAR,CROPS,00,51,06,TONS / ACRE,00000000,ANNUAL,,SAN JOAQUIN VALLEY,OTHER (COMBINED) COUNTIES,,CA,COUNTY
FIELD CROPS,2017,23.5,ALL CLASSES,UNITED STATES,TOTAL,SILAGE,NOT SPECIFIED,00,9000,SURVEY,06,,"CALIFORNIA, SAN JOAQUIN VALLEY, OTHER (COMBINED) COUNTIES",YIELD,,998,,ALL PRODUCTION PRACTICES,,CORN,,CALIFORNIA,2018-02-22 15:08:35.000,ANNUAL,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,CROPS,00,YEAR,TONS / ACRE,06,00000000,SAN JOAQUIN VALLEY,,COUNTY,OTHER (COMBINED) COUNTIES,CA,
ALL CLASSES,UNITED STATES,FIELD CROPS,25,2015,SILAGE,TOTAL,,06,SURVEY,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, OTHER (COMBINED) COUNTIES",NOT SPECIFIED,9000,00,,,998,ALL PRODUCTION PRACTICES,,CORN,CALIFORNIA,2017-02-23 15:00:08.000,51,00,CROPS,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,06,TONS / ACRE,ANNUAL,,SAN JOAQUIN VALLEY,CA,,OTHER (COMBINED) COUNTIES,COUNTY
,CORN,CALIFORNIA,2023-02-24 15:00:00.000,00,CROPS,51,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,TONS / ACRE,06,ANNUAL,,SAN JOAQUIN VALLEY,CA,019,FRESNO,COUNTY,ALL CLASSES,UNITED STATES,FIELD CROPS,20,2022,SILAGE,TOTAL,,06,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, FRESNO",YIELD,NOT SPECIFIED,9000,00,09.40,,019,ALL PRODUCTION PRACTICES
YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, FRESNO",,SURVEY,,06,00,9000,NOT SPECIFIED,04.20,ALL PRODUCTION PRACTICES,019,,UNITED STATES,ALL CLASSES,2021,25.5,FIELD CROPS,SILAGE,TOTAL,,SAN JOAQUIN VALLEY,FRESNO,CA,019,COUNTY,CALIFORNIA,2023-02-24 15:00:00.000,CORN,,06,TONS / ACRE,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,CROPS,YEAR,00,ANNUAL
YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, FRESNO",,SURVEY,,06,00,9000,NOT SPECIFIED,5.0,ALL PRODUCTION PRACTICES,019,,UNITED STATES,ALL CLASSES,2020,23,FIELD CROPS,SILAGE,TOTAL,,SAN JOAQUIN VALLEY,FRESNO,CA,019,COUNTY,2022-02-24 15:00:14.000,CALIFORNIA,CORN,,TONS / ACRE,06,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,YEAR,00,51,ANNUAL
COUNTY,CA,019,FRESNO,SAN JOAQUIN VALLEY,,ANNUAL,51,CROPS,00,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,06,TONS / ACRE,,CORN,2021-02-25 15:10:17.000,CALIFORNIA,,019,ALL PRODUCTION PRACTICES,,NOT SPECIFIED,9000,00,06,,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, FRESNO",YIELD,TOTAL,SILAGE,FIELD CROPS,23,2019,ALL CLASSES,UNITED STATES
SAN JOAQUIN VALLEY,,COUNTY,CA,019,FRESNO,2019-03-21 15:00:18.000,CALIFORNIA,,CORN,ANNUAL,00000000,TONS / ACRE,06,51,00,CROPS,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",9000,00,NOT SPECIFIED,,"CALIFORNIA, SAN JOAQUIN VALLEY, FRESNO",YIELD,06,,SURVEY,ALL PRODUCTION PRACTICES,,019,,23,2018,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,SILAGE
SAN JOAQUIN VALLEY,,COUNTY,CA,019,FRESNO,2017-02-23 15:00:08.000,CALIFORNIA,,CORN,ANNUAL,00000000,TONS / ACRE,06,YEAR,51,CROPS,00,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",9000,00,NOT SPECIFIED,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, FRESNO",,06,SURVEY,ALL PRODUCTION PRACTICES,,019,,24.5,2016,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,SILAGE
,SAN JOAQUIN VALLEY,FRESNO,CA,019,COUNTY,2015-02-19 15:38:52.000,CALIFORNIA,CORN,,06,TONS / ACRE,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",YEAR,CROPS,51,00,ANNUAL,"CALIFORNIA, SAN JOAQUIN VALLEY, FRESNO",YIELD,,SURVEY,06,,00,9000,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,019,,UNITED STATES,ALL CLASSES,2014,23,FIELD CROPS,SILAGE,TOTAL
FRESNO,019,CA,COUNTY,,SAN JOAQUIN VALLEY,TONS / ACRE,06,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,00,YEAR,51,ANNUAL,CALIFORNIA,2019-10-01 15:11:43.000,CORN,,,ALL PRODUCTION PRACTICES,019,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, FRESNO",,SURVEY,,06,00,9000,NOT SPECIFIED,SILAGE,TOTAL,UNITED STATES,ALL CLASSES,2013,24,FIELD CROPS
SILAGE,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,22.5,2012,,,019,ALL PRODUCTION PRACTICES,06,,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, FRESNO",YIELD,NOT SPECIFIED,9000,00,YEAR,51,00,CROPS,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,06,TONS / ACRE,ANNUAL,,CORN,2015-06-03 15:08:31.000,CALIFORNIA,019,CA,FRESNO,COUNTY,,SAN JOAQUIN VALLEY
ALL CLASSES,UNITED STATES,FIELD CROPS,2011,22.5,SILAGE,TOTAL,SURVEY,06,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, FRESNO",,NOT SPECIFIED,00,9000,,019,,ALL PRODUCTION PRACTICES,CORN,,2015-06-03 15:08:31.000,CALIFORNIA,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00,51,CROPS,YEAR,06,TONS / ACRE,00000000,ANNUAL,,SAN JOAQUIN VALLEY,FRESNO,019,CA,COUNTY
ALL CLASSES,UNITED STATES,FIELD CROPS,2010,23.5,SILAGE,TOTAL,SURVEY,06,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, FRESNO",,NOT SPECIFIED,00,9000,,019,,ALL PRODUCTION PRACTICES,CORN,,CALIFORNIA,2015-06-03 15:08:31.000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,CROPS,YEAR,00,TONS / ACRE,06,00000000,ANNUAL,,SAN JOAQUIN VALLEY,FRESNO,019,CA,COUNTY
SILAGE,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,2022,26.5,03.20,029,,ALL PRODUCTION PRACTICES,SURVEY,,06,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",,NOT SPECIFIED,00,9000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00,CROPS,51,YEAR,TONS / ACRE,06,00000000,ANNUAL,CORN,,CALIFORNIA,2023-02-24 15:00:00.000,KERN,CA,029,COUNTY,,SAN JOAQUIN VALLEY
UNITED STATES,ALL CLASSES,25,2021,FIELD CROPS,SILAGE,TOTAL,,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",YIELD,06,,SURVEY,9000,00,NOT SPECIFIED,03.70,ALL PRODUCTION PRACTICES,,029,2023-02-24 15:00:00.000,CALIFORNIA,,CORN,00000000,TONS / ACRE,06,00,CROPS,51,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",ANNUAL,,SAN JOAQUIN VALLEY,029,CA,KERN,COUNTY
2.6,ALL PRODUCTION PRACTICES,,029,,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",YIELD,,06,SURVEY,9000,00,NOT SPECIFIED,SILAGE,TOTAL,UNITED STATES,ALL CLASSES,25.5,2020,FIELD CROPS,CA,029,KERN,COUNTY,,SAN JOAQUIN VALLEY,00000000,06,TONS / ACRE,00,51,YEAR,CROPS,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",ANNUAL,2022-02-24 15:00:14.000,CALIFORNIA,,CORN
ALL PRODUCTION PRACTICES,,029,,9000,00,NOT SPECIFIED,,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",YIELD,06,,SURVEY,TOTAL,SILAGE,26,2017,FIELD CROPS,UNITED STATES,ALL CLASSES,COUNTY,029,CA,KERN,SAN JOAQUIN VALLEY,,ANNUAL,00000000,06,TONS / ACRE,YEAR,51,00,CROPS,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",2018-02-22 15:08:35.000,CALIFORNIA,,CORN
COUNTY,KERN,CA,029,SAN JOAQUIN VALLEY,,ANNUAL,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",YEAR,51,CROPS,00,TONS / ACRE,06,00000000,CORN,,CALIFORNIA,2017-02-23 15:00:08.000,029,,ALL PRODUCTION PRACTICES,,NOT SPECIFIED,00,9000,SURVEY,06,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",,TOTAL,SILAGE,FIELD CROPS,2016,27.5,ALL CLASSES,UNITED STATES
UNITED STATES,ALL CLASSES,2015,25,FIELD CROPS,SILAGE,TOTAL,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",,SURVEY,,06,00,9000,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,029,,CALIFORNIA,2017-02-23 15:00:08.000,CORN,,TONS / ACRE,06,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,00,CROPS,YEAR,ANNUAL,,SAN JOAQUIN VALLEY,KERN,029,CA,COUNTY
NOT SPECIFIED,00,9000,SURVEY,,06,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",,029,,ALL PRODUCTION PRACTICES,,FIELD CROPS,2014,24.5,ALL CLASSES,UNITED STATES,TOTAL,SILAGE,SAN JOAQUIN VALLEY,,COUNTY,KERN,CA,029,CORN,,2015-02-19 15:38:52.000,CALIFORNIA,ANNUAL,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,51,00,YEAR,TONS / ACRE,06,00000000
CROPS,00,51,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,TONS / ACRE,06,ANNUAL,,CORN,2019-10-01 15:11:43.000,CALIFORNIA,CA,029,KERN,COUNTY,,SAN JOAQUIN VALLEY,SILAGE,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,24.5,2013,,,029,ALL PRODUCTION PRACTICES,,06,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",YIELD,NOT SPECIFIED,9000,00
SAN JOAQUIN VALLEY,,COUNTY,CA,029,KERN,,CORN,CALIFORNIA,2015-06-03 15:08:31.000,ANNUAL,CROPS,00,YEAR,51,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,06,TONS / ACRE,NOT SPECIFIED,9000,00,06,,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",YIELD,,029,ALL PRODUCTION PRACTICES,,FIELD CROPS,26.5,2012,ALL CLASSES,UNITED STATES,TOTAL,SILAGE
CALIFORNIA,2015-06-03 15:08:31.000,CORN,,TONS / ACRE,06,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,CROPS,YEAR,00,ANNUAL,,SAN JOAQUIN VALLEY,KERN,029,CA,COUNTY,UNITED STATES,ALL CLASSES,2011,22,FIELD CROPS,SILAGE,TOTAL,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",YIELD,,SURVEY,06,,00,9000,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,029,
23,2010,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,SILAGE,9000,00,NOT SPECIFIED,,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",YIELD,,06,SURVEY,ALL PRODUCTION PRACTICES,,029,,CALIFORNIA,2015-06-03 15:08:31.000,,CORN,ANNUAL,00000000,06,TONS / ACRE,00,CROPS,YEAR,51,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",SAN JOAQUIN VALLEY,,COUNTY,029,CA,KERN
FIELD CROPS,25,2022,ALL CLASSES,UNITED STATES,TOTAL,SILAGE,NOT SPECIFIED,9000,00,06,,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, KINGS",YIELD,,031,ALL PRODUCTION PRACTICES,05.00,,CORN,CALIFORNIA,2023-02-24 15:00:00.000,ANNUAL,YEAR,51,CROPS,00,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,06,TONS / ACRE,SAN JOAQUIN VALLEY,,COUNTY,CA,031,KINGS
,SAN JOAQUIN VALLEY,KINGS,CA,031,COUNTY,CORN,,CALIFORNIA,2023-02-24 15:00:00.000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,00,YEAR,51,06,TONS / ACRE,00000000,ANNUAL,SURVEY,,06,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, KINGS",,NOT SPECIFIED,00,9000,05.90,031,,ALL PRODUCTION PRACTICES,ALL CLASSES,UNITED STATES,FIELD CROPS,2021,26.5,SILAGE,TOTAL
SILAGE,TOTAL,UNITED STATES,ALL CLASSES,24.5,2020,FIELD CROPS,3.8,ALL PRODUCTION PRACTICES,,031,,"CALIFORNIA, SAN JOAQUIN VALLEY, KINGS",YIELD,,06,SURVEY,9000,00,NOT SPECIFIED,00000000,TONS / ACRE,06,YEAR,CROPS,51,00,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",ANNUAL,CALIFORNIA,2022-02-24 15:00:14.000,,CORN,CA,031,KINGS,COUNTY,,SAN JOAQUIN VALLEY
"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,CROPS,00,YEAR,06,TONS / ACRE,00000000,ANNUAL,CORN,,2021-02-25 15:10:17.000,CALIFORNIA,KINGS,031,CA,COUNTY,,SAN JOAQUIN VALLEY,SILAGE,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,2019,25.5,,031,,ALL PRODUCTION PRACTICES,SURVEY,06,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, KINGS",,NOT SPECIFIED,00,9000
